2026-09-15 22:03:24 | [INFO   ] | Логгер успешно сконфигурирован
2026-09-15 22:03:24 | [INFO   ] | Приложение запущено
2026-09-15 22:03:53 | [DEBUG  ] | Входные данные: login='ванёк', password=****, confirm=****
2026-09-15 22:03:53 | [ERROR  ] | Неуспешный запрос. login='ванёк', password=****, confirm=****. Результат: False. Ошибка: Логин-строка может содержать только латиницу, цифры и знак подчеркивания
2026-09-15 22:04:13 | [DEBUG  ] | Входные данные: login='', password=, confirm=
2026-09-15 22:04:13 | [ERROR  ] | Неуспешный запрос. login='', password=, confirm=. Результат: False. Ошибка: Логин не указан
2026-09-15 22:04:23 | [DEBUG  ] | Входные данные: login='vanek', password=****, confirm=****
2026-09-15 22:04:23 | [ERROR  ] | Неуспешный запрос. login='vanek', password=****, confirm=****. Результат: False. Ошибка: Пароль должен содержать минимум 7 символов
2026-09-15 22:04:33 | [DEBUG  ] | Входные данные: login='vanek', password=*******, confirm=*******
2026-09-15 22:04:33 | [ERROR  ] | Неуспешный запрос. login='vanek', password=*******, confirm=*******. Результат: False. Ошибка: Пароль должен содержать хотя бы одну заглавную букву кириллицы
2026-09-15 22:04:41 | [DEBUG  ] | Входные данные: login='', password=, confirm=
2026-09-15 22:04:41 | [ERROR  ] | Неуспешный запрос. login='', password=, confirm=. Результат: False. Ошибка: Логин не указан
2026-09-15 22:04:59 | [DEBUG  ] | Входные данные: login='vanek', password=********, confirm=********
2026-09-15 22:04:59 | [ERROR  ] | Неуспешный запрос. login='vanek', password=********, confirm=********. Результат: False. Ошибка: Пароль может содержать только кириллицу, цифры и спецсимволы
2026-09-15 22:05:58 | [DEBUG  ] | Входные данные: login='vanek', password=********, confirm=********
2026-09-15 22:05:58 | [ERROR  ] | Неуспешный запрос. login='vanek', password=********, confirm=********. Результат: False. Ошибка: Пароль должен содержать хотя бы одну строчную букву кириллицы
2026-09-15 22:06:15 | [DEBUG  ] | Входные данные: login='vanek', password=*********, confirm=*********
2026-09-15 22:06:15 | [ERROR  ] | Неуспешный запрос. login='vanek', password=*********, confirm=*********. Результат: False. Ошибка: Пароль должен содержать хотя бы один спецсимвол
2026-09-15 22:07:41 | [DEBUG  ] | Входные данные: login='vanek', password=**********, confirm=**********
2026-09-15 22:07:41 | [INFO   ] | Успешный запрос. login='vanek', password=**********, confirm=**********. Результат: True. Сообщение: ''
2026-09-15 22:08:07 | [DEBUG  ] | Входные данные: login='vanek', password=*********, confirm=*********
2026-09-15 22:08:07 | [ERROR  ] | Неуспешный запрос. login='vanek', password=*********, confirm=*********. Результат: False. Ошибка: Такой логин уже зарегистрирован
2026-09-15 22:08:25 | [INFO   ] | Приложение остановлено пользователем
